City,Typology,Country,Car_Modeshare,Public_Transit_Modeshare,Bicycle_Modeshare,Walking_Modeshare,Gasoline_Pump_Price,Road_Deaths_Rate,Subway_Length,Subway_Length_Density,Subway_Stations_per_Hundred_Thousand,Subway_Ridership_per_Capita,Subway_Age,BRT_Length,BRT_System_Length_Density,BRT_Stations_per_Hundred_Thousand_Persons,BRT_Fleet_per_Hundred_Thousand_Persons,BRT_Annual_Ridership_per_Capita,BRT_Age,Bikeshare_Stations,Bikeshare_Stations_per_Hundred_Thousand_Persons,Bikeshare_Number_of_Bikes,Bikeshare_Bicycles_per_Hundred_Thousand_Persons,Bikeshare_Age,Congestion,Congestion_AM_Peak,Congestion_PM_Peak,Traffic_Index,Travel_Time_Index,Inefficiency_Index,Population,Land_Area,Population_Density,Population_Change_1990_–_2000,Population_Change_2000_–_2010,Population_Change_2010_–_2020,Population_Change_2020_–_2025,Urbanization_Rate_2015,Urbanization_Rate_Change_2015_–_2025,GDP_per_Capita,Unemployment_Rate,Cost_of_Living_Index,Rent_Index,Grocery_Index,Restaurant_Price_Index,Local_Purchasing_Power_Index,Gini_Coefficient,Poverty_Rate,Life_Expectancy,Safety_Index,Internet_Penetration,Digital_Penetration,Innovation_Index,Smartphone_Penetration,CO2_Emissions_per_Capita,Pollution_Index,Street_length_total,Street_Length_Density,Street_Length_Average,Intersection_Count,Intersection_Density,Degree_Average,Streets_per_Node,Circuity,Self-Loop_Proportion,Highway_Proportion,Metro_Propensity_Factor,BRT_Propensity_Factor,BikeShare_Propensity_Factor,Development_Factor,Sustainability_Factor,Population_Factor,Congestion_Factor,Sprawl_Factor,Network_Density_Factor
Kazan,BusTransit Sprawl,Russia,33.0,67.0,,,0.73,18.9,15.8,0.035909091,0.873362445,25.50218341,12,0.0,0.0,0.0,0.0,0.0,0.0,7,0.611353712,100.0,8.733624454,2.0,,,,,,,1145000,440,2600,3415,46391,62357,34990,74.0,1.3,11279.6,,31.93,11.08,26.25,34.52,47.1,0.44,,70.5,,61.4,0.5,36.0,45.0,12.46681628,,2492356.053,1901279464.0,218.7236554,6493.0,762.844242,5.02513899,2.755015712,1.055898673,0.001779787,0.0,0.2146043908,0.1144561371,0.4282517061,0.2858117682,0.2817751822,0.0397927158,0.5970109397,0.6536188307,0.3259725714
Mashhad,BusTransit Sprawl,Iran,56.0,25.0,,3.0,0.36,32.1,24.0,0.080536913,0.712166172,14.08011869,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,3370000,298,11300,392325,580701,517635,200011,73.4,4.4,6733.9,,,,,,,,,75.5,,57.2,0.43,,,7.996848538,,4839697.312,4733146627.0,111.0812117,25156.0,977.9840188,4.978499543,2.847666972,1.037436781,0.000918864,0.00271184,0.1543005011,0.1159771796,0.3951700658,0.2516222138,0.272898015,0.1476329937,0.5301558084,0.8143126457,0.4014165798
Houston(TX),Auto Innovative,United States,91.0,1.9,0.2,1.4,0.6,12.8,38.3,0.007932891,0.732722731,3.04746045,13,0.0,0.0,0.0,0.0,0.0,0.0,29,0.482930891,225.0,3.746877602,6.0,24.0,41.0,60.0,221.59,44.1,243.75,6005000,4828,1200,926932,935962,724741,344730,81.6,1.7,65332.0,6.2,70.96,45.64,66.44,77.37,155.39,0.469,21.2,76.5,38.04,68.1,0.78,50.0,72.0,22.5,61.22,11160118.39,10137419342.0,138.9647286,45585.0,908.3612725,5.233020783,3.099429676,1.039758294,0.005844583,0.033485191,0.1286287561,0.1576766446,0.4026311608,0.7865213891,0.2425337618,0.17917434,0.2681276419,0.87785385,0.6011633747
New Orleans(LA),Auto Sprawl,United States,88.2,2.6,1.1,2.2,0.63,15.5,35.9,0.055230769,3.027027027,8.756756757,94,0.0,0.0,0.0,0.0,0.0,0.0,62,6.702702703,,,0.0,23.0,33.0,50.0,,,,925000,650,1400,-30917,-150950,126744,59820,81.6,1.7,53245.0,6.2,75.0,39.58,73.59,76.07,94.52,0.475,23.4,75.7,33.16,66.2,0.78,41.0,72.0,32.4,47.37,4662719.382,2528934201.0,128.8150781,19985.0,542.3732362,5.335232153,3.272299833,1.045882831,0.003033641,0.020846389,0.3790541606,0.1814295059,0.3755364946,0.705352427,0.2801864713,0.0221976215,0.2026056536,0.7894466262,0.4506177039
Lagos,Congested Boomer,Nigeria,15.0,72.0,1,12.0,0.48,20.5,0.0,0.0,0.0,0.0,0,22.0,0.015438596,0.218238504,1.714731099,4.676539361,10.0,0,0.0,0.0,0.0,0.0,,,,,,,12830000,1425,9000,2516613,3507594,5037015,3031333,47.8,7.5,4333.0,,36.5,19.85,32.72,21.8,27.96,0.64,34.1,55.0,27.77,52.0,0.15,27.0,28.0,0.553477351,,5112441.779,4062421863.0,129.0401519,23383.0,794.6147924,5.009987179,2.669512113,1.046900666,0.004619964,0.00334675,0.1315630644,0.2236391739,0.3724043149,0.0985092106,0.168189418,0.6743591445,0.6630950015,0.5069624633,0.370038064
Wuxi,MetroBike Emerging,China,,,,,1.16,18.8,56.0,0.075880759,1.226158038,19.67302452,3,0.0,0.0,0.0,0.0,0.0,0.0,27,0.735694823,1500.0,40.8719346,2.0,24.0,38.0,50.0,,,,3670000,738,5000,842807,1387165,1428414,490635,55.6,9.8,21040.0,2.12,,,,,,0.39,,76.1,,50.1,0.43,36.0,58.0,7.550916485,,3989768.892,3692504041.0,323.6609793,7052.0,925.4932155,4.553641732,3.048966535,1.052348295,0.001837242,0.022637797,0.2151152936,0.067446961,0.4209716874,0.2769589746,0.7084993165,0.2950601582,0.4146178355,0.6425312849,0.3157017363
Harare,Congested Emerging,Zimbabwe,18.0,35.5,2.5,42.0,1.35,28.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,2220000,829,2700,331799,146587,464062,346663,32.4,0.2,917.6,,52.63,15.61,41.37,43.07,28.58,0.38,46.5,60.7,49.36,46.5,0.29,,,0.924989992,73.67,5583433.444,4636656393.0,163.1724076,20629.0,830.4310313,5.407128087,2.760167052,1.114596776,0.008083626,0.0,0.0798491564,0.0722548453,0.3361947364,0.171572457,0.2210514626,0.1169423043,0.6721404342,0.3439462005,0.3032262848
Monterrey,BusTransit Sprawl,Mexico,41.2,54.5,,,0.95,15.7,32.0,0.035794183,0.746089049,42.14199759,26,30.0,0.033557047,0.938628159,1.925391095,7.220216606,4.0,0,0.0,0.0,0.0,0.0,,,,109.34,26.52,81.62,4155000,894,4600,672013,833650,1013036,377892,79.2,2.6,25237.0,5.7,35.19,12.17,33.13,30.04,96.11,0.46,40.0,76.7,49.15,49.2,0.5,39.0,35.0,4.4,62.4,8972304.325,9299020854.0,93.60092977,57453.0,1036.413893,5.443809034,3.082840712,1.051191848,0.001546234,0.0,0.2434299364,0.2622930798,0.4309448006,0.3278963681,0.3906358147,0.165127245,0.5219119512,0.5240444743,0.5749541598
Yerevan,Hybrid Giant,Armenia,,,,,0.84,18.3,13.4,0.035638298,0.754716981,11.9245283,36,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,101.73,29.88,83.3,1325000,376,3500,-63223,1713,76199,49226,62.7,-0.1,3932.6,17.3,34.39,11.23,26.49,31.38,36.22,0.31,32.2,74.8,69.52,69.6,0.3,,,1.837058919,62.36,3832115.267,3952091412.0,170.6423506,12887.0,1031.308073,5.079606122,2.668703286,1.095672499,0.001424701,0.0,0.2087774323,0.0917114202,0.4177989839,0.2669316896,0.4286537181,0.0310093999,0.5534121553,0.4940360568,0.3597288504
Liverpool,MassTransit Moderate,United Kingdom,68.7,17.4,2,10.6,1.69,1.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,130,14.77272727,1000.0,113.6363636,4.0,30.0,47.0,50.0,,,,880000,200,4300,-12856,-21189,59424,61730,82.6,2.2,34669.0,10.2,68.23,22.88,58.95,66.79,103.26,0.38,,81.2,60.74,89.8,0.77,41.0,68.0,4.83,,2285513.493,9410591391.0,85.65429274,15106.0,4117.495442,4.657843046,2.493966888,1.059171014,0.004056469,0.005588348,0.0468759526,0.1469844453,0.4933445403,0.6519185695,0.4145537997,0.0130906328,0.3247536466,0.1694136676,0.4746419382
Durban,BusTransit Sprawl,South Africa,,,,,1.19,25.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,22.0,44.0,43.0,146.24,34.43,153.56,3450000,1062,3200,646652,583976,517300,253605,64.8,4.6,8221.0,,38.76,13.97,31.09,37.0,108.46,0.72,39.2,62.9,21.86,52.6,0.45,32.0,37.0,8.859169093,59.83,5657313.906,5160662266.0,139.4526204,23563.0,912.2106978,5.021205357,2.661896008,1.09412017,0.003007204,0.022636532,0.0611980009,0.1563618067,0.396613667,0.2901512223,0.3137744149,0.1700360439,0.3541543921,0.6259814375,0.3513141387
Kumasi,Congested Emerging,Ghana,,,,,1.05,26.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,2965000,337,8800,491393,748291,905540,501719,54.0,6.0,1707.7,,,,,,,,10.6,62.4,,29.6,0.16,,21.0,0.558786409,,3122985.041,2482754129.0,162.1319199,11372.0,794.993923,5.14891586,2.628324015,1.056047501,0.000317822,0.0,0.0789504978,0.0471448056,0.3538060361,0.0679876813,0.334279648,0.2306166481,0.6902953236,0.3640021552,0.3184829665
Izmir,Hybrid Moderate,Turkey,,,,,1.47,8.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.914826498,,,2.0,30.0,39.0,52.0,183.43,44.56,241.96,3170000,298,10600,474714,626229,831137,346022,73.4,4.3,19886.0,,43.45,9.66,37.09,32.15,59.19,,,75.8,72.15,46.3,0.48,37.0,59.0,4.243452638,65.31,6039888.052,6074998396.0,81.68523623,45313.0,1005.813079,5.756201479,3.029701551,1.069905362,0.000491082,0.015340586,0.0804275234,0.091028776,0.4236409106,0.3413710012,0.3503719895,0.1686933687,0.4516066568,0.2614096021,0.4585805113
Ankara,Hybrid Giant,Turkey,,,,,1.48,7.5,64.3,0.097424242,1.056034483,22.43534483,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,33.0,43.0,54.0,143.69,37.4,132.09,4640000,660,7000,618147,894608,1155562,472963,73.4,4.3,21076.0,12.1,43.76,8.89,38.48,32.37,68.66,,,75.8,55.37,46.3,0.48,37.0,59.0,4.243452638,72.04,7068465.131,7262582756.0,105.8771608,40484.0,1027.462486,5.495291647,3.018133369,1.057404464,0.000862962,0.011222117,0.2538067679,0.089037644,0.4188296807,0.3481474187,0.4460056565,0.2000773388,0.4498975343,0.3087698978,0.5013651335
Cape Town,BusTransit Sprawl,South Africa,47.7,35.0,1,12.2,1.16,25.1,0.0,0.0,0.0,0.0,0,17.0,0.020833333,0.905562743,8.020698577,1.91461837,7.0,0,0.0,0.0,0.0,0.0,35.0,75.0,67.0,194.19,40.78,203.79,3865000,816,4700,560163,776599,604124,292182,64.8,4.6,14086.0,,41.44,23.4,34.34,39.66,99.44,0.67,39.2,62.9,28.11,52.6,0.45,42.0,37.0,8.859169093,40.86,4570701.927,4359078729.0,118.7503748,22576.0,953.700066,5.30910994,2.871518822,1.089968032,0.005576522,0.014237787,0.0794015156,0.2745883119,0.3853644809,0.3479768003,0.2521806262,0.1733148444,0.5609425731,0.6085638337,0.3530412059
